mars,Mars,50,"space,brown,sci-fi"
beach,Beach,50,"blue,green,white,"
starwarsbk,Death Star,50,"star wars,black,gadget,space,fantasy,sci-fi"
space,Alien planet,50,"sci-fi,space,alien,brown,green"
space2,Alien planet,50,"sci-fi,space,alien,brown"
foodbk,Food planet,50,"food,strawberry,banana,red,blue,yellow,pink,white,animal"
forestbk,Forest,50,"forest,wild,green"
wildbk,Forest at night,50,"forest,blue,wild"
zoobk,Zoo,50,"zoo,animal,green"
safaribk,Safari,50,"zoo,animal,green"
warbk,War zone,55,"war,weapon,soldier,black,grey"
warbk2,War zone,50,"war,weapon,red,black"
bakery,Bakery,50,"food,sweet,red"
bowl,Bowl,40,"cat,container,black,white,pet"
fantasy,Fantasy,50,"fantasy,green"
simpsons,Simpsons Living Room,50,"simpsons,red,pink,blue,green,cartoon"
gadget,Gadget Shop,45,"gadget,robot,tool,white"
garage,Garage,50,vehicle
graveyard,Graveyard,50,"horror,black,monster"
hospital,Hospital,50,health
stadium,Stadium,50,"sport,green,blue"
cartoon,Cartoon house,50,"cartoon,green,blue"
cartoon2,Cartoon table,50,"cartoon,green,red,book"
churchbk,Church,50,"religious,white,blue"
garden,Garden,50,"flowers,red,green"
history,Castle,50,history
hogwarts,Hogwarts,50,"harry potter,fantasy,green,blue"
kungfupanda,Temple,50,"kung-fu panda,fantasy,brown"
lotr,Fantasy,50,"fantasy,statue"
music,Concert,50,"music,blue,green"
politics,UN,50,"politics,brown"
southpark,South Park Elementary,50,"south park,cartoon,yellow,red"
statue,Museum,50,"statue,history"
tmnt,Dark Alley,50,"tmnt,cartoon"
